,Word,Count,Include,ProperNounRatio,ManuallyExcluded
268,tomorrow,145,0,0.013793103448275862,False
269,middle,145,1,0.0,False
270,plane,144,1,0.0,False
271,slide,144,1,0.0,False
272,home,144,1,0.0,False
273,fruit,143,1,0.0,False
274,carrot,143,1,0.0,False
275,kind,143,0,0.0,False
276,button,141,1,0.0,False
277,star,141,1,0.07092198581560284,False
278,tissue,141,1,0.0,False
279,sun,141,1,0.07194244604316546,False
280,pool,140,1,0.0,False
281,nursery,140,1,0.0,False
282,bin,139,1,0.0,False
283,shark,139,1,0.043478260869565216,False
284,sam,138,1,0.972972972972973,False
285,frog,136,1,0.051470588235294115,False
286,sky,136,1,0.014705882352941176,False
287,stuff,136,1,0.0,False
288,school,135,1,0.0,False
289,meat,135,1,0.0,False
290,while,134,0,0.0,False
291,mama,134,1,0.061068702290076333,False
292,doggie,133,1,0.045112781954887216,False
293,corner,132,1,0.0,False
294,burger,132,1,0.03787878787878788,False
295,vehicle,130,1,0.0,False
296,slipper,129,1,0.0,False
297,swimming,128,0,0.0,False
298,edward,128,1,1.0,False
299,bucket,126,1,0.015873015873015872,False
300,boot,126,1,0.007936507936507936,False
301,job,126,1,0.0,False
302,pink,124,1,0.056451612903225805,False
303,medicine,124,1,0.0,False
304,ladder,124,1,0.03225806451612903,False
305,sand,122,1,0.02459016393442623,False
306,help,120,1,0.0,False
307,worm,120,1,0.008333333333333333,False
308,knife,120,1,0.0,False
309,teddy+bear,119,0,0.5126050420168067,False
310,glass,118,1,0.0,False
311,pea,118,1,0.0,False
312,morag,118,0,0.8898305084745762,False
313,lunch,117,1,0.0,False
314,lamb,117,1,0.19658119658119658,False
315,walk,116,1,0.0,False
316,cover,116,1,0.0,False
317,puppy,115,1,0.008695652173913044,False
318,board,115,1,0.05217391304347826,False
319,crane,115,1,0.017543859649122806,False
320,sticker,114,1,0.0,False
321,settee,114,1,0.0,False
322,turn,113,0,0.0,False
323,shirt,113,1,0.0,False
324,cat+food,113,0,0.02654867256637168,False
325,petrol,113,1,0.035398230088495575,False
326,green,113,1,0.23008849557522124,False
327,pram,113,1,0.008849557522123894,False
328,caitlin,112,0,1.0,False
329,pot,111,1,0.018018018018018018,False
330,lettuce,111,1,0.0,False
331,onion,111,1,0.0,False
332,candle,111,1,0.0,False
333,blue,111,1,0.09090909090909091,False
334,snowman,111,1,0.10810810810810811,False
335,lego,111,1,0.02702702702702703,False
336,a@l,111,0,0.12962962962962962,False
337,step,109,1,0.0,False
338,washing,108,1,0.009259259259259259,False
339,video,107,1,0.0,False
340,brush,107,1,0.0,False
341,peach,107,1,0.07547169811320754,False
342,row,107,1,0.0,False
343,trouble,106,0,0.009433962264150943,False
344,coat,105,1,0.009523809523809525,False
345,problem,104,0,0.0,False
346,cot,104,1,0.0,False
347,coffee,104,1,0.0,False
348,chimney,103,1,0.08737864077669903,False
349,knickers,103,1,0.0,False
350,pocket,103,1,0.0,False
351,goose,103,1,0.04854368932038835,False
352,yellow,102,0,0.019801980198019802,False
353,neck,102,1,0.0,False
354,pizza,102,1,0.00980392156862745,False
355,second,102,1,0.0,False
356,hot+dog,101,0,0.1782178217821782,False
357,blanket,101,1,0.0,False
358,bed+room,100,0,0.0,False
359,sweet+corn,100,0,0.02,False
360,rosie,100,0,0.97,False
361,snow,99,1,0.0,False
362,beach,99,1,0.0,False
363,tellie,98,0,0.05102040816326531,False
364,pajama,98,1,0.0,False
365,chalk,98,1,0.2621359223300971,False
366,o@l,97,0,0.0,False
367,dad,95,1,0.010638297872340425,False
368,pepper,95,1,0.031914893617021274,False
369,butterfly,95,1,0.010526315789473684,False
370,bone,95,1,0.0,False
371,king,94,1,0.010638297872340425,False
372,bowl,93,1,0.0,False
373,toilet,93,1,0.0,False
374,jumper,92,1,0.06521739130434782,False
375,clown,92,1,0.10869565217391304,False
376,mum,90,1,0.03409090909090909,False
377,rain,90,1,0.0,False
378,sweetie,90,1,0.0,False
379,pan,90,1,0.011111111111111112,False
380,sea,89,1,0.011235955056179775,False
381,afternoon,89,0,0.0,False
382,igloo,89,1,0.033707865168539325,False
383,lucy,89,1,0.9550561797752809,False
384,pineapple,88,1,0.0,False
385,caterpillar,88,1,0.0,False
386,body,88,1,0.0,False
387,other,87,0,0.011627906976744186,False
388,farmer,87,1,0.023255813953488372,False
389,post,87,1,0.0,False
390,fork,87,1,0.0,False
391,clock,87,1,0.034482758620689655,False
392,cream,87,1,0.011494252873563218,False
393,carriage,87,1,0.0,False
394,person,86,1,0.0,False
395,b@l,86,0,0.2,False
396,ribbon,85,1,0.0,False
397,nappie,85,0,0.0,False
398,hammer,85,1,0.08235294117647059,False
399,thumb,84,1,0.047619047619047616,False
400,nail,84,1,0.0,False
401,dinosaur,84,1,0.047619047619047616,False
402,zita,84,0,0.9036144578313253,False
403,bun,83,1,0.03614457831325301,False
404,accident,83,0,0.0,False
405,telephone,82,1,0.0,False
406,crocodile,82,1,0.06097560975609756,False
407,neenaw,82,0,0.8292682926829268,False
408,saturday,81,0,1.0,False
409,tonight,81,0,0.0,False
410,cushion,81,1,0.0,False
411,santa,81,1,1.0,False
412,shed,81,1,0.0,False
413,seaside,81,1,0.012345679012345678,False
414,pussycat,81,1,0.012345679012345678,False
415,edge,80,1,0.0,False
416,potato,80,1,0.0125,False
417,towel,80,1,0.0125,False
418,snap,80,1,0.025,False
419,stair,79,1,0.0,False
420,lastname,79,0,0.8375,False
421,round,79,1,0.02531645569620253,False
422,peter,79,1,0.9873417721518988,False
423,nut,79,1,0.02531645569620253,False
424,smoke,78,1,0.01282051282051282,False
425,year,78,0,0.0,False
426,oven,78,1,0.0,False
427,kite,78,1,0.11538461538461539,False
428,policeman,78,1,0.0,False
429,toby,78,1,0.9615384615384616,False
430,cupboard,78,1,0.0,False
431,police,77,0,0.0,False
432,sugar,77,1,0.012987012987012988,False
433,bow,77,1,0.012987012987012988,False
434,mat,77,1,0.0,False
435,fact,76,0,0.0,False
436,ticket,76,0,0.0,False
437,t+shirt,76,0,0.0,False
438,wash,76,1,0.02631578947368421,False
439,music,76,0,0.0,False
440,gumdrop,76,1,0.4605263157894737,False
441,half,75,0,0.0,False
442,carwash,75,0,0.0,False
443,building,75,1,0.0,False
444,jigsaw,75,1,0.05333333333333334,False
445,pond,75,1,0.06666666666666667,False
446,stick,75,1,0.0,False
447,bee,74,1,0.02702702702702703,False
448,plum,74,1,0.0,False
449,coach,73,1,0.0,False
450,spaghetti,73,1,0.0273972602739726,False
451,fridge,73,1,0.0,False
452,air,73,1,0.0,False
453,aubergine,73,1,0.5205479452054794,False
454,seat,71,1,0.0,False
455,bunny,71,1,0.2714285714285714,False
456,jess,71,0,1.0,False
457,thanks,71,0,0.0,False
458,painting,70,1,0.0,False
459,poo,70,0,0.0,False
460,drawing,70,1,0.0,False
461,fireman,70,1,0.0,False
462,sophie,70,0,1.0,False
463,point,69,1,0.0,False
464,change,69,1,0.0,False
465,television,69,1,0.0,False
466,funnel,69,1,0.057971014492753624,False
467,mud,69,1,0.0,False
468,brother,68,1,0.014705882352941176,False
469,size,68,1,0.0,False
470,part,68,1,0.0,False
471,parcel,68,1,0.058823529411764705,False
472,curtain,68,1,0.0,False
473,fly,68,1,0.0,False
474,fox,68,1,0.6470588235294118,False
475,breakdown,68,0,0.014925373134328358,False
476,sauce,67,1,0.0,False
477,machine,66,1,0.0,False
478,passenger,66,1,0.0,False
479,age,65,0,0.0,False
480,surprise,65,0,0.0,False
481,cough,65,0,0.0,False
482,vegetable,65,1,0.0,False
483,dolphin,65,1,0.0625,False
484,grandad,65,1,0.49230769230769234,False
485,sunday,64,1,1.0,False
486,fun,64,0,0.015625,False
487,noddy,64,0,0.8125,False
488,horn,64,1,0.0,False
489,load,64,1,0.0,False
490,set,63,1,0.015873015873015872,False
491,dumpty,63,0,0.9552238805970149,False
492,birdie,63,1,0.06349206349206349,False
493,parrot,62,1,0.04838709677419355,False
494,block,62,1,0.0,False
495,calf,61,1,0.01639344262295082,False
496,chick,61,1,0.03278688524590164,False
497,umbrella,61,1,0.0,False
498,s@l,61,0,0.04878048780487805,False
499,rainbow,60,0,0.06666666666666667,False
500,weekend,60,0,0.0,False
501,tickle,60,0,0.3333333333333333,False
502,spade,59,1,0.23728813559322035,False
503,roll,59,1,0.03389830508474576,False
504,diesel,59,1,0.1864406779661017,False
505,square,59,1,0.0,False
506,steam,58,1,0.034482758620689655,False
507,triangle,58,1,0.0,False
508,sunshine,58,1,0.10344827586206896,False
509,bubble,58,1,0.0,False
510,tool,58,1,0.0,False
511,price,58,1,0.8,False
512,d@l,58,0,0.3870967741935484,False
513,cab,58,1,0.06896551724137931,False
514,pete,58,0,0.9827586206896551,False
515,football,57,1,0.0,False
516,lolly,57,1,0.07017543859649122,False
517,celery,57,1,0.3684210526315789,False
518,cabbage,57,1,0.0,False
519,nurse,57,1,0.03508771929824561,False
520,mind,57,1,0.0,False
521,c@l,57,0,0.09090909090909091,False
522,mountain,57,1,0.017543859649122806,False
523,mary,57,1,1.0,False
524,jim,56,0,0.9821428571428571,False
525,cloth,56,1,0.0,False
526,battery,56,1,0.0,False
527,ramp,56,1,0.0,False
528,steering,56,0,0.0,False
529,teapot,56,1,0.0,False
530,controller,56,1,0.08771929824561403,False
531,corn,56,1,0.017857142857142856,False
532,kitten,56,1,0.07142857142857142,False
533,pair,55,0,0.0,False
534,cold,55,1,0.0,False
535,wind,55,1,0.0,False
536,ladybird,55,1,0.18181818181818182,False
537,barn,55,1,0.0,False
538,lift,55,1,0.0,False
539,pop,55,1,0.0,False
